"longitude","latitude"
-61.7263419914419,15.9899312836748
-61.727064,15.993699
-61.5647265585202,16.0428882569357
-61.3145029901246,15.8835161465773
-61.5748647999485,16.1328167677381
-61.456940363479,16.3309305955104
-61.5379080431811,16.237271164881
-61.7906510237153,16.2335349748581
-61.6416334836261,16.1900944289985
-61.5273191521398,16.2476409215767
-61.4799243503395,16.2901028477947
-61.317859,15.954417
-61.7263117035695,15.990110428339
-61.5934324508171,16.1939297877229
-61.486976122491,16.3778130617341
-61.246392,15.973427
-61.7042274901865,15.9494563178131
-61.5306836368955,16.2328431034704
-61.5054825367503,16.2691431941393
-61.5961859501334,16.2409925478085
-61.4895115666852,16.2054562293619
-61.6341179113449,16.2723579221727
-61.3458555504602,16.3325956257186
-61.6994228227013,16.330811305745
-61.6438427378755,15.9769992768766
-61.7263447754739,15.993800415883
-61.5291376264075,16.2232249633613
-61.5081603775933,16.4712364057041
-61.7688524616501,16.1297560558691
-61.2220879349515,15.8915666284863
-61.6928139610275,15.9953274370566
-61.7939980279876,16.3075511926521
-61.5324408341598,16.4184160967357
-61.697482176561,16.0269156434345
-61.271879549076,16.2575640386193
-61.5268625910444,16.2255465091464
-61.5865344872638,16.2682936221314
-61.7461180426237,16.0208784212169
-61.0749564858853,16.3033593830908
-61.385614996682,16.2254226181968
-61.6432513323022,15.8495733571065
-61.584332,15.866611
-61.7666208416412,16.0574367635903
