"longitude","latitude"
55.4653625617509,-21.3336514142926
55.5774150907703,-21.3373743635766
55.7459629465809,-21.0819421758964
55.4875239937707,-20.8923630044435
55.4773230433745,-20.9157548243716
55.6465592276172,-21.3846271264744
55.4052185153488,-21.2091711318069
55.2257838981596,-21.0521971862844
55.2982956054318,-21.0369042287141
55.8017582083615,-21.3047862421327
55.5428737692947,-21.2788637697598
55.2949894642904,-21.1057259595185
55.4890320414426,-21.1426179067788
55.4525345906507,-20.8826205010924
55.3320473520488,-21.2415454877722
55.6309689844618,-21.1330265538881
55.3202224017361,-20.962681706681
55.337527547433,-20.926983250897
55.7122920376039,-21.0519299812571
55.6070025617178,-21.3261478522964
55.6274046542064,-21.2940911049957
55.3047618881271,-21.214686604271
55.2793831672848,-20.9987069663101
55.5486461473271,-20.8970589433232
55.5978321485606,-20.9030073385942
55.5184648338168,-21.2812961526
55.308916,-21.184492
55.474971811627,-21.2518642843384
55.3615743076751,-21.2588885741287
55.5584181396641,-21.3249267092949
55.5755909784762,-21.3689931978202
55.6552514008143,-20.9599600326067
55.6807518921391,-20.9439888473613
55.4469654822556,-20.8823413775302
55.4512970738874,-20.892712398747
55.6180519004191,-21.3772818696774
55.3180669222278,-21.1472290491777
55.3268792989457,-20.9999759816258
55.2657881297356,-21.0230602799817
55.5028450542772,-21.2939099667228
55.6075239037793,-20.9053436803219
55.5164247165263,-21.2959361947812
55.5069545852795,-21.2633175673894
55.4751685929199,-21.168770888127
55.5184648338168,-21.2812961526
55.498253,-21.294116
55.6818421768334,-20.9974815112861
55.5591426905426,-21.3411411522568
55.5662161466668,-21.3570588747434
55.7093927732367,-21.0330340143747
55.4237739693259,-20.8893540132878
55.4831691729006,-20.9058698760697
55.4465907906043,-20.8795587045006
55.6810522007892,-21.3446510144426
55.6040037043864,-21.3472301947024
55.4374796302511,-21.2641960625412
55.2793831672848,-20.9987069663101
55.4818755170529,-21.3473171992933
55.4745256710028,-21.3409882729825
55.7620725347488,-21.3614774845797
55.7931007776336,-21.1286328664263
55.5177693647671,-21.0657339644131
55.5065059615252,-21.2354750093624
55.4723724659325,-21.1336976002122
55.5662161466668,-21.3570588747434
55.521104,-21.357053
55.2973586226989,-20.9346017583839
55.2980154933486,-20.9397738569761
55.4947684131735,-20.9172115587068
55.4689870094048,-20.8951919820081
55.2793831672848,-20.9987069663101
55.5257344041604,-21.3308315658043
55.446585,-20.882709
55.5343410784337,-21.2569043420645
55.5528482006562,-21.2191546702588
55.503456753166,-21.2772765122461
55.5184648338168,-21.2812961526
55.621763,-20.915913
55.4747984315119,-21.3132654377954
